sample_id,channel,comment_text,is_known_positive,comment_length
1,Nick Norwitz,I'm down 11lb in 13 days...🎉 I'm doing starch and protein on the weekends 😊 I'm monitoring and learning what I can do to maximize my weight loss ❤,True,146
2,Mark Hyman,"Gone unprocessed but still have fish and some dairy ( trying to stop dairy products) Added 10 critical herbs/spices to diet and nuts , greens , berries etc . Never felt better , lost weight , feel good . When I some times have cake or white bread I feel really sick.  No flu for 7 years",True,286
3,KenDBerryMD,"First of all I’d like to congratulate her for her feeling happy about her weight and seemingly healthy….It’s so funny to hear of these AMAZING diets that all work so wonderful..I’m a 78 year old woman who went vegan at 70,,at 77 introduced wild caught Salmon for the omega 3..Every year before going vegan I had 1 or 2 colds and one usually a sinus infection….I have not had a cold OR sinus infection since being on this diet..My weight has been between 120 and 125 for the 8 years..I am 5'3”..I guess the answer is ,,,find a way to eat that makes you feel good. Personally I would think some fruits and vegetables would be a benefit to her human body,,,,,,lol,, but what do I know,,,lol",False,687
4,Nick Norwitz,"Trust is not free. Once lost, the relationship is over.",False,55
5,Dr. Robert Cywes M.D.,I don't eat when i first wake up that the last thing I want to do. My first meal is around 3,False,92
6,Mark Hyman,“Just take antihistamine and that’s it” this can’t be more accurate..,False,69
7,Anthony Chaffee MD,Maggie White is 82 years old? She looks much younger than this.,False,63
8,Dr. Robert Cywes M.D.,"Great tips, I'm on carnivore diet for about 2 months, I've lost 10kg. I'm living a new life.",True,92
9,Dr. Boz,"Settle down, lady...",False,20
10,Mark Hyman,"Give us a list of cereal products that are safest. Also look into rice, is china rice bad?",False,90
11,KenDBerryMD,I believe the quarter pounder patties are the only burger there's that not frozen. According to my daughter that worked there in her teens. They tried to make her a manager while she was in highschool. She's now a registered nurse and she's only 22 yrs old. I'm very proud of her.,False,280
12,Eric Berg DC,"Since I found you on you tube ,I don’t watch or listen to anybody else but you❤",False,79
13,Mark Hyman,I was diagnosed with Ankylosing Spondylitis. They told me it was genetic. I prayed for guidance and the Lord Jesus Christ changed my life. I was compelled to change my diet and do a 40-day detox that I believe healed my gut. I haven't had a flare-up in more or less 10 yrs.,True,273
14,Dr. Boz,"2-3 servings of fruit are fine. Just don't overdo. In some studies about mortality, where they look at the frequency of servings of specific fruits, benefits diminished,nif you go over 1 daily serving of that one fruit.",False,219
15,Mark Hyman,ive lost alot of weight following dr hymans advice. i stopped dairy and have never felt better,True,94
16,Shawn Baker MD,As someone who earned my combat patches and CIB it pisses me off that person has never served but is called an Admiral,False,118
17,Jason Fung,Looks like Freddy Krueger on the thumbnail 😂😂🤣🤣‼️,False,49
18,Ben Bikman,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not shift. Please advice. TIA",True,225
19,Anthony Chaffee MD,"There’s a sports doctor named Mike on here that has muscle, but is really obese and he’s always saying the public didn’t listen to the government advice. YES WE DID. I’m 61 and have been misled and lied to my whole life. I’ve tried every way possible to lose weight and have lost over 100 lbs the hard way and now the easy way. Now I know to eat meat and veggies, basically. Watch my blood sugar on a cgm because a spike of blood sugar is followed by a spike of insulin that tells the body to store that fat! I always comment that those guys should look at the carnivore and keto doctors and see who they’d rather look like and be like. He’s always knocking low carb, high fat which is how I’ve pretty much effortlessly lost 158 lbs this time. This is my lifestyle now. I’ve spent my whole life trying to figure this out. Keto or carnivore if you can and fasting. That’s it. That’s the ticket to health. My type 2 is in remission, off proton pump inhibitors, blood pressure meds cut in half, zero joint pain. Feel better at 61 than I did at 16.",True,1044
20,Nick Norwitz,Every soul tastes death.,False,24
21,Shawn Baker MD,Ohhh I heard your rant and saw your face and said ewww gross.  Then I ate some bacon and eggs.,False,94
22,Jason Fung,"All 3 tips are awesome! I also read your book and I am doing keto and intermittent fasting.  Just started again and lost 6 pounds  in the past 10 days. Thank you for your great work and looking forward to more information about healing a fatter liver through diet, supplements and lifestyle.",True,291
23,Nick Norwitz,Her cholesterol was 122! Not 300 chill guys.,False,44
24,Mark Hyman,"Many did not get the shot and have debilitating long covid, but I do agree. Don’t get the shot either.",False,102
25,KenDBerryMD,Been on Keto six months now and I’ve lost 50 pounds… started at 198 pounds and I couldn’t agree more! Intermittent fasting certainly helps!,True,139
26,Shawn Baker MD,"If you want to tackle inflammation in a huge way, I’ve heard and experienced the miracle which is a short dry fast. It is an absolute game changer.   When the body is forced to extract water from the interstitial fluid and it does tissue recycling through autophagy to the greatest degree, it can really reduce inflammation in a huge way.",True,338
27,Mark Hyman,"are more people sensitive? more than they are getting sensitive to other stuff? i know some people are getting serious gluten sensitivity, but there's also been a massive rise in people blaming gluten for all kinds of completely unrelated ailments.",False,248
28,Dr. Robert Cywes M.D.,Lowered my carbs & upped my salt and my blood pressure went to perfect. Reversed my type 2 diabetes too. Carbs are the cause of a lot of illnesses.,True,147
29,Mark Hyman,Loved both of you and your humility.  I have essential tremor and I am on primal one but m6 dose has to be low because of how hard it would be to get off of it.  This is small ailment comparing to diseases you are talking about.  Ultra sound is promising but I’m 72 and tired.  Thank you for your help.❤,False,303
30,Mark Hyman,less interruptions would be good,False,32
31,Dr. Boz,"My hope is that the doctors who were ""duped"" like you were have learned something.  I'm thankful that you've publicly acknowledged your mistake.  That would be difficult, but was essential to your audience.  Thanks for having the courage to do so.  Hopefully there's not another pandemic that resembles Covid, but if there is, we need doctors to have the courage and critical thinking to  question the ""science""; especially when something like forced vaccinations to participate in their regular life is occurring.",False,514
32,Shawn Baker MD,I do eat vegetables and pasta and sometimes rice too but I do mostly just eat meat  I’m a size uk 6 I’m 37 I’ve always eaten quite a lot of red meat and I’m relatively healthy,False,175
33,Anthony Chaffee MD,"Hello, thank you for the content! I’ve just discovered your work, and the carnivore diet really interests me because I have quite a few digestive issues and chronic fatigue. I ate a lot of junk food for several years, and I’m paying the consequences now at 43.  I wanted to ask you for advice regarding food selection, since you talk about meat, salt, and water. Are eggs, fish, butter, or ghee allowed? And how should foods be cooked then — can they be cooked with butter?  Thank you very much in advance for your reply 🙏",False,522
34,Jason Fung,"I'm 63. I do not remember eating ""snacks"" as a child, but I do remember eating home cooked meals as a family. Mom was an excellent cook too. We were too poor to go to McDonald's so it was a rare treat. When I was in high school, I would skip lunch and hoard my lunch money. When I was working my early jobs in my 20's, I would buy chips and diet soda for lunch. (I know, not healthy). Those days I was very thin and probably because I wasn't eating all the time. I didn't KNOW that was fasting. Now, I'm trying to replicate that so I can lose weight. I lost 10lb the first month. Only 90 more to go.",True,599
35,Eric Berg DC,What to take.  Potassium  Magnesium  Calcium  Sea Salt Trace minerals  Vitamin B   Drinks you can take Water with lemon Coffee Tea without milk or cream Bone broth,False,163
36,Anthony Chaffee MD,Good thing I’m addicted to power and money,False,42
37,Dr. Boz,Got it now ....... this is a parady account,False,43
38,Anthony Chaffee MD,God bless this woman. She is on point.,False,38
39,Eric Berg DC,I am very thankful I  found you. You are very generous in communicating life saving information. God Bless you,False,110
40,Nick Norwitz,After statins killed my husband I started studying & found that high cholesterol actually is found in most long living seniors.,False,127
41,KenDBerryMD,"If this is about Dr Berg, you are incorrect.  He does not say lemon juice  cures all . That said I  do follow you and you are also informative.",False,143
