category,description,pattern
future_intent,"Future plans or intentions, not achieved outcomes",^i\s+(want|need|hope|plan|wish|aim)\s+to\s+(lose|reverse|improve|lower)
future_intent,"Future plans or intentions, not achieved outcomes",^i'm\s+(trying|hoping|planning|wanting|looking)\s+to\s+(lose|reverse|improve)
future_intent,"Future plans or intentions, not achieved outcomes",^(trying|hoping|planning|wanting)\s+to\s+(lose|reverse|improve|lower)
future_intent,"Future plans or intentions, not achieved outcomes",^my\s+goal\s+is\s+to\s+(lose|reverse|improve)
future_intent,"Future plans or intentions, not achieved outcomes",^i\s+(will|shall|should|must|need\s+to)\s+(lose|reverse|start)
future_intent,"Future plans or intentions, not achieved outcomes",^(hopefully|maybe)\s+(i\s+)?(will|can)\s+(lose|reverse|improve)
future_intent,"Future plans or intentions, not achieved outcomes",^i\s+would\s+like\s+to\s+(lose|reverse|improve)
future_intent,"Future plans or intentions, not achieved outcomes",^let's\s+see\s+if
future_intent,"Future plans or intentions, not achieved outcomes","^i\s+started\s+(today|yesterday|this\s+week)(?!.{0,50}(lost|improved|reversed|gone))"
questions,Questions about health outcomes,\?\s*$
questions,Questions about health outcomes,^(can|does|will|would|could|should|is|are|has|have|do|did)\s+(this|keto|carnivore|fasting|it)
questions,Questions about health outcomes,^(how|what|why|when|where|which)\s+(do|does|can|will|should)
questions,Questions about health outcomes,^(anyone|anybody|someone|has\s+anyone)\s+(lost|reversed|improved|tried)
questions,Questions about health outcomes,^(is\s+it|are\s+there)\s+(possible|true|safe)
questions,Questions about health outcomes,^(i\s+wonder|wondering)\s+(if|whether|about)
negation,Negative or failed outcomes,(can't|cannot|couldn't|could\s+not)\s+(lose|reverse|improve|lower)
negation,Negative or failed outcomes,(didn't|did\s+not|haven't|have\s+not|hasn't)\s+(lose|lost|help|work|improve)
negation,Negative or failed outcomes,(don't|do\s+not|doesn't)\s+(work|help|believe)
negation,Negative or failed outcomes,(not|no)\s+(losing|reversing|improving|working)
negation,Negative or failed outcomes,(still|yet)\s+(have|has|had)\s+(diabetes|pain|symptoms)
negation,Negative or failed outcomes,(still|yet)\s+(diabetic|prediabetic|overweight)
negation,Negative or failed outcomes,(weight|pain|symptoms)\s+(came\s+back|returned|worse)
negation,Negative or failed outcomes,(gained|regained)\s+(weight|it\s+back)
negation,Negative or failed outcomes,(failed|failing)\s+to\s+(lose|reverse)
negation,Negative or failed outcomes,(didn't|did\s+not)\s+(see|notice|experience)\s+(any|much)\s+(change|improvement)
negation,Negative or failed outcomes,no\s+(change|improvement|difference|effect|results)
negation,Negative or failed outcomes,(worse|worsened|worsening)
third_party,"Reports about others, not personal",^my\s+(husband|wife|mom|dad|mother|father|friend|brother|sister|son|daughter|partner)\s+(lost|reversed|improved)
third_party,"Reports about others, not personal",^(he|she|they)\s+(lost|reversed|improved|has|have)
third_party,"Reports about others, not personal",^my\s+(husband|wife|mom|dad|friend)'s\s+(a1c|diabetes|weight)
third_party,"Reports about others, not personal",^(a\s+)?friend\s+(of\s+mine\s+)?(lost|reversed)
third_party,"Reports about others, not personal",^someone\s+i\s+know\s+(lost|reversed)
general_statements,"General statements about diets, not personal outcomes",^(keto|carnivore|fasting|low\s+carb)\s+(helps?|can|will|is\s+good\s+for)
general_statements,"General statements about diets, not personal outcomes",^(this|it)\s+(helps?|works?|can)\s+(with|for)
general_statements,"General statements about diets, not personal outcomes",^(studies|research|science)\s+(show|say|prove)
general_statements,"General statements about diets, not personal outcomes",^(people|many|most)\s+(lose|reverse|improve)
general_statements,"General statements about diets, not personal outcomes",^(you|one)\s+(can|will|should|could)\s+(lose|reverse)
general_statements,"General statements about diets, not personal outcomes",^the\s+(best|key|secret)\s+(way\s+)?to\s+(lose|reverse)
general_statements,"General statements about diets, not personal outcomes",^(losing|reversing)\s+(weight|diabetes)\s+(is|requires)
engagement_only,Generic engagement without outcome content,^(great|good|nice|awesome|excellent|amazing|wonderful)\s+(video|content|info|channel)
engagement_only,Generic engagement without outcome content,^(thanks?|thank\s+you)\s*(for|doc|dr|doctor)?
engagement_only,Generic engagement without outcome content,^(subscribed|liked|shared)
engagement_only,Generic engagement without outcome content,^(first|second|third)\s*(comment|here|one)
engagement_only,Generic engagement without outcome content,^(hello|hi|hey)\s*(everyone|all|there)?
engagement_only,Generic engagement without outcome content,^(love|loving)\s+(this|your)\s+(channel|video|content)
