video_id,channel_name,comment_text,classification,has_positive_outcome,aspect_ids,aspect_names,ro_ids,outcome_categories,exclusion_reasons
SUfOrnzVVw0,Ben Bikman,"Never in my life had I heard about lowering insulin way to lose weight until 2023 (Dr. Jason Fung, Dr. Ben Bikman) - not even from my dr or nurse.  It's always: calories in v calories out, must be in a calorie deficit and don't eat fat and salt.  Well long term that's not how I lost weight - it's through lowering insulin which was a game changer!!",positive_outcome,True,RO2.1; RO2.2,Anthropometric Changes; Glycemic Control,RO2,explicit_improvement,
SUfOrnzVVw0,Ben Bikman,"I had RnY gastric surgery 20 years ago. I lost 200, and then gained the majority of it back. I then lost about 150 pounds doing Weight Watchers, and then gained it all back again. Then started resetting my pouch and conditioned my stomach to eat no more than the 4 ounces again, focusing on protein. And this helped me lose about 200 pounds, but I know that I was not eating adequate fat and was still not eating enough protein. And so I know that I lost considerable muscle mass as well. I still have about 25 pounds to lose, and am now doing carnivore for healing and love it. However, I am still struggling to find any information about how much I should really be eating and what I should really be focusing on with my macros in respect to my RnY surgery. If you can help me with any information on this, it would be so much appreciated. I enjoy your channel. Thank you so much.",positive_outcome,True,RO1.7; RO2.1,Digestive Health; Anthropometric Changes,RO2; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"i listen to many of your videos, and this video, watching second time, so i can retain more of what i hear. I am 68 and diabetic for 30 years. Very long time ago i lost 50 pounds, by cutting my portions. I was always addicted to sugars. Out of 50 losed, i gained 10 pounds and kept it off for 30 years. During pandemic gained another 10 and my weight was 179. i take Metformin, 2 insulins and 2 years ago got on Ozempic. No side effects and i lost 30 pounds. I exersice every day, walk 3 miles and weight exercises few times a week. I also got into intermittent fasting, i eat only 2 times a day with a very small snack and i lost another 4 pounds. Now i rearly inject any insulin, my blood pressure is normal. I am still on Ozempic, but the sideffect of not wanting to eat is gone and i can eat all i want, but i am getting used to eating small portions and only 2 times a day.",positive_outcome,True,RO2.1; RO2.3; RO3.1,Anthropometric Changes; Blood Pressure; Type 2 Diabetes,RO2; RO3,quantified_change; explicit_improvement,
SUfOrnzVVw0,Ben Bikman,I do fast. It works for me i lost 15 lbs in a month,positive_outcome,True,RO2.1,Anthropometric Changes,RO2,quantified_change,
SUfOrnzVVw0,Ben Bikman,"I have to agree. I used to feel hungry constantly. I stumbled on the low carb died, as a way to reduce my borderline type 2 diabetes and fatty liver. Ever since, even with eating only 2 meals per day, I haven't felt hungry and don't crave snacks.  I've also lost nearly 50lb, in four months 👍",positive_outcome,True,RO1.5; RO3.1; RO3.2,Appetite & Satiety; Type 2 Diabetes; Fatty Liver Disease,RO3; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,I did low carb and was very successful but had my fasting insulin checked while I was still on it and it only went from 15 to 13 with a 70 lb weight loss. I was still battling insulin resistance even as my fat disappeared. Someone needs to tell me how to get my insulin in control.,positive_outcome,True,RO2.1; RO2.2,Anthropometric Changes; Glycemic Control,RO2,quantified_change,
SUfOrnzVVw0,Ben Bikman,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not shift. Please advice. TIA",positive_outcome,True,RO1.9; RO2.1; RO3.11,Hormonal & Menstrual Health; Anthropometric Changes; Stroke,RO2; RO3; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"I have been cutting out most carbs for 2.5 years, especially sugars. I also went to intermittent fasting 4-5 times a week. I slowly lost 20kg which is not much but then I did never weigh more than 89kg. If I eat carbs only as brown organic rice once in 2 month, dark rye sourdough or whole grain bread. I cut out potatoes and noodles. I only use butter olive oil and coconut fat. I cook all my own food from fresh organic produce eat meat mostly chicken some beef lamb and pork(organic free range). I make my own fermented vegetables. I eat enough and not too much as I feel full after a small meal. No urges as some days when busy I nearly forgot to eat. I do now and then snack a little but have no problems afterwards. I am 75 and needed to lose weight to take pressure off my hips and knees. I am trying to go down a few more kg. My waist went down from 86cm to 77cm. It is achievable.😊",positive_outcome,True,RO1.5; RO2.1,Appetite & Satiety; Anthropometric Changes,RO2; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"Had the Gastricbypass in 2007 and it's a choice I regret some days. Yes lost over 150 lbs but the supplements I have to take just to feel normal is astronomical been Lowcarb/Keto now 7 years and has helped in controlling my insulin and issues I was having Didn't learn about digestive enzymes untill 6 years ago So I lost several teeth, iron deficiency problems,severe muscle wasting, fatigue,depression etcetcetc Not untill I started using patch supplements and vitamins with oral ones did I see a change.",positive_outcome,True,RO1.2; RO1.3; RO1.7; RO2.1; RO2.2,Energy & Vitality; Psychological Well-Being; Digestive Health; Anthropometric Changes; Glycemic Control,RO2; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,I did low carb and was very successful but had my fasting insulin checked while I was still on it and it only went from 15 to 13 with a 70 lb weight loss. I was still battling insulin resistance even as my fat disappeared. Someone needs to tell me how to get my insulin in control.,positive_outcome,True,RO2.1; RO2.2,Anthropometric Changes; Glycemic Control,RO2,quantified_change,
SUfOrnzVVw0,Ben Bikman,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not shift. Please advice. TIA",positive_outcome,True,RO1.9; RO2.1; RO3.11,Hormonal & Menstrual Health; Anthropometric Changes; Stroke,RO2; RO3; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"I have been cutting out most carbs for 2.5 years, especially sugars. I also went to intermittent fasting 4-5 times a week. I slowly lost 20kg which is not much but then I did never weigh more than 89kg. If I eat carbs only as brown organic rice once in 2 month, dark rye sourdough or whole grain bread. I cut out potatoes and noodles. I only use butter olive oil and coconut fat. I cook all my own food from fresh organic produce eat meat mostly chicken some beef lamb and pork(organic free range). I make my own fermented vegetables. I eat enough and not too much as I feel full after a small meal. No urges as some days when busy I nearly forgot to eat. I do now and then snack a little but have no problems afterwards. I am 75 and needed to lose weight to take pressure off my hips and knees. I am trying to go down a few more kg. My waist went down from 86cm to 77cm. It is achievable.😊",positive_outcome,True,RO1.5; RO2.1,Appetite & Satiety; Anthropometric Changes,RO2; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"Had the Gastricbypass in 2007 and it's a choice I regret some days. Yes lost over 150 lbs but the supplements I have to take just to feel normal is astronomical been Lowcarb/Keto now 7 years and has helped in controlling my insulin and issues I was having Didn't learn about digestive enzymes untill 6 years ago So I lost several teeth, iron deficiency problems,severe muscle wasting, fatigue,depression etcetcetc Not untill I started using patch supplements and vitamins with oral ones did I see a change.",positive_outcome,True,RO1.2; RO1.3; RO1.7; RO2.1; RO2.2,Energy & Vitality; Psychological Well-Being; Digestive Health; Anthropometric Changes; Glycemic Control,RO2; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,I did low carb and was very successful but had my fasting insulin checked while I was still on it and it only went from 15 to 13 with a 70 lb weight loss. I was still battling insulin resistance even as my fat disappeared. Someone needs to tell me how to get my insulin in control.,positive_outcome,True,RO2.1; RO2.2,Anthropometric Changes; Glycemic Control,RO2,quantified_change,
SUfOrnzVVw0,Ben Bikman,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not shift. Please advice. TIA",positive_outcome,True,RO1.9; RO2.1; RO3.11,Hormonal & Menstrual Health; Anthropometric Changes; Stroke,RO2; RO3; RO1,quantified_change,
SUfOrnzVVw0,Ben Bikman,"I have been cutting out most carbs for 2.5 years, especially sugars. I also went to intermittent fasting 4-5 times a week. I slowly lost 20kg which is not much but then I did never weigh more than 89kg. If I eat carbs only as brown organic rice once in 2 month, dark rye sourdough or whole grain bread. I cut out potatoes and noodles. I only use butter olive oil and coconut fat. I cook all my own food from fresh organic produce eat meat mostly chicken some beef lamb and pork(organic free range). I make my own fermented vegetables. I eat enough and not too much as I feel full after a small meal. No urges as some days when busy I nearly forgot to eat. I do now and then snack a little but have no problems afterwards. I am 75 and needed to lose weight to take pressure off my hips and knees. I am trying to go down a few more kg. My waist went down from 86cm to 77cm. It is achievable.😊",positive_outcome,True,RO1.5; RO2.1,Appetite & Satiety; Anthropometric Changes,RO2; RO1,quantified_change,
