topic_id,top_words,words_with_weights
0,"fast, hour, find, everything, sure, sleep, system, else, needed, end, read, break, quite, enjoy, case","fast(0.078), hour(0.055), find(0.039), everything(0.037), sure(0.029), sleep(0.022), system(0.021), else(0.020), needed(0.019), end(0.019), read(0.018), break(0.016), quite(0.014), enjoy(0.014), case(0.013)"
1,"eat, egg, butter, morning, breakfast, ate, beef, sardine, bacon, daily, chicken, sometimes, fish, dinner, meal","eat(0.237), egg(0.069), butter(0.038), morning(0.034), breakfast(0.029), ate(0.029), beef(0.027), sardine(0.027), bacon(0.023), daily(0.021), chicken(0.018), sometimes(0.017), fish(0.017), dinner(0.016), meal(0.015)"
2,"work, berg, may, done, another, already, yes, mean, reason, saying, important, real, drug, true, truth","work(0.099), berg(0.061), may(0.039), done(0.037), another(0.026), already(0.026), yes(0.024), mean(0.024), reason(0.023), saying(0.022), important(0.022), real(0.021), drug(0.021), true(0.020), truth(0.019)"
3,"maybe, lol, skin, hungry, heard, steak, home, might, idea, wonder, instead, kid, listen, along, difference","maybe(0.043), lol(0.037), skin(0.036), hungry(0.033), heard(0.030), steak(0.027), home(0.026), might(0.026), idea(0.023), wonder(0.022), instead(0.021), kid(0.021), listen(0.020), along(0.020), difference(0.018)"
4,"change, medical, hope, nothing, test, effect, let, patient, show, seen, wow, wrong, god, care, talk","change(0.038), medical(0.030), hope(0.029), nothing(0.028), test(0.027), effect(0.026), let(0.025), patient(0.023), show(0.022), seen(0.022), wow(0.021), wrong(0.021), god(0.020), care(0.020), talk(0.019)"
5,"cancer, cell, money, ketone, hunger, literally, either, tip, treatment, highly, hit, taken, understanding, response, learning","cancer(0.046), cell(0.031), money(0.030), ketone(0.028), hunger(0.018), literally(0.018), either(0.018), tip(0.017), treatment(0.016), highly(0.015), hit(0.015), taken(0.015), understanding(0.015), response(0.014), learning(0.014)"
6,"fat, body, actually, liver, sense, yet, kind, fact, heart_attack, oatmeal, consume, perfect, carbohydrate, feed, concerned","fat(0.149), body(0.113), actually(0.030), liver(0.026), sense(0.023), yet(0.023), kind(0.023), fact(0.022), heart_attack(0.020), oatmeal(0.015), consume(0.015), perfect(0.014), carbohydrate(0.014), feed(0.012), concerned(0.012)"
7,"food, water, coffee, drink, salt, oil, cut, whole, add, milk, processed, dairy, stuff, tea, taste","food(0.133), water(0.054), coffee(0.037), drink(0.031), salt(0.027), oil(0.021), cut(0.020), whole(0.019), add(0.018), milk(0.017), processed(0.016), dairy(0.016), stuff(0.016), tea(0.013), taste(0.012)"
8,"life, information, berry, believe, loss, fung, helped, understand, family, advice, age, book, sharing, absolutely, info","life(0.082), information(0.049), berry(0.029), believe(0.029), loss(0.027), fung(0.026), helped(0.025), understand(0.024), family(0.024), advice(0.023), age(0.019), book(0.018), sharing(0.017), absolutely(0.017), info(0.017)"
9,"diet, carnivore, eating, better, keto, went, issue, problem, pain, bad, without, found, around, thought, energy","diet(0.079), carnivore(0.062), eating(0.033), better(0.027), keto(0.020), went(0.019), issue(0.019), problem(0.018), pain(0.014), bad(0.014), without(0.013), found(0.013), around(0.012), thought(0.012), energy(0.010)"
10,"weight, fasting, carbs, lost, low, carb, keto, protein, pound, less, result, lose, meal, eating, intermittent","weight(0.070), fasting(0.060), carbs(0.051), lost(0.049), low(0.044), carb(0.028), keto(0.026), protein(0.026), pound(0.025), less(0.020), result(0.020), lose(0.019), meal(0.019), eating(0.018), intermittent(0.016)"
11,"use, bread, product, using, gluten, hair, eye, wheat, run, leg, american, cannot, recipe, inulin, honey","use(0.062), bread(0.043), product(0.035), using(0.027), gluten(0.025), hair(0.024), eye(0.023), wheat(0.021), run(0.019), leg(0.019), american(0.018), cannot(0.017), recipe(0.016), inulin(0.015), honey(0.015)"
12,"sugar, high, blood, insulin, level, cholesterol, glucose, ldl, type, diabetes, pressure, normal, gut, diabetic, fructose","sugar(0.113), high(0.084), blood(0.065), insulin(0.057), level(0.039), cholesterol(0.032), glucose(0.030), ldl(0.028), type(0.027), diabetes(0.023), pressure(0.018), normal(0.018), gut(0.017), diabetic(0.016), fructose(0.015)"
13,"meat, fruit, healthy, plant, vegetable, human, live, animal, different, veggie, based, eating, grain, fiber, red","meat(0.092), fruit(0.047), healthy(0.045), plant(0.029), vegetable(0.028), human(0.026), live(0.024), animal(0.024), different(0.023), veggie(0.017), based(0.016), eating(0.015), grain(0.015), fiber(0.014), red(0.013)"
14,"health, study, heart, disease, wish, point, interesting, research, world, word, sound, science, happy, called, usually","health(0.088), study(0.042), heart(0.042), disease(0.040), wish(0.032), point(0.030), interesting(0.027), research(0.027), world(0.026), word(0.022), sound(0.021), science(0.019), happy(0.018), called(0.018), usually(0.016)"
