topic_id,rank,probability,channel,comment
0,1,0.346004843711853,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
0,2,0.34600481390953064,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
0,3,0.34600481390953064,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
1,1,0.36248692870140076,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
1,2,0.3624861240386963,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
1,3,0.36248597502708435,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
2,1,0.31020110845565796,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
2,2,0.3102010488510132,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
2,3,0.3102010190486908,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
3,1,0.324181467294693,Dr. Robert Cywes M.D.,"This is the first time I have heard anything positive about oxalates. So I can occasionally nibble on the oxalis weeds/aka “sour-sweet” in my garden, guilt-free, and if (once in a blue moon) I spot “spinach salad” on a restaurant menu, I can gobble down the spinach, hard-boiled eggs, bacon, scallions with only a passing pang for the sugar, which along with apple cider vinegar and mustard, makes up the boiled dressing?! ( Last time I saw it was in the ‘90’s). It’s far too much trouble to make mys"
