bigram,frequency
intermittent fasting,26035
carnivore diet,5538
fasting you,5107
my body,3601
low carb,3315
blood pressure,3238
my blood,3049
weight loss,2180
blood sugar,2070
keto diet,1945
type diabetes,1860
my diet,1822
lose weight,1590
my weight,1544
your body,1513
insulin resistance,1461
know what,1449
skin tags,1445
much better,1396
i'm not,1248
feel better,1243
my a1c,1221
heart attack,1188
am not,1119
fatty liver,1098
you know,1089
no longer,1085
no more,1081
my skin,1054
don't know,1020
better than,988
diabetes diabetes,987
carb diet,985
it's not,900
know how,884
fasting they,880
high cholesterol,840
high blood,803
no sugar,801
heart disease,786
years now,775
no one,767
not only,765
very low,765
my stomach,755
bowel syndrome,754
right now,754
don know,750
not sure,739
blood glucose,722
away from,721
my coffee,698
high fat,692
not eating,684
not eat,676
know intermittent,667
my cholesterol,667
blood work,664
felt better,663
fasting we,660
my ldl,658
now i'm,654
started carnivore,642
my heart,634
i've lost,609
based diet,608
ketogenic diet,590
my fasting,588
went away,586
never felt,583
lost weight,582
more energy,574
brain fog,564
losing weight,549
your knowledge,541
not even,535
fasting there,534
now my,530
my insulin,524
low fat,512
fasting not,511
fasting eat,509
no matter,504
my sugar,504
doing keto,502
i've never,497
now am,486
off my,475
ve lost,475
strict carnivore,473
not just,472
insulin resistant,465
high carb,457
no idea,455
my brain,446
no way,440
am now,439
high protein,437
fasting my,434
sugar diet,432
not so,424
not good,420
black coffee,418
keto carnivore,412
mostly carnivore,411
total cholesterol,408
not going,408
not as,406
very high,397
my triglycerides,397
know why,395
fasting your,395
fasting insulin,392
diet my,390
eat carbs,390
know about,388
diabetes diabetic,387
low protein,386
my gut,380
high ldl,380
stopped eating,380
muscle mass,378
my liver,376
my eyes,375
not get,373
my hdl,370
high fructose,368
not want,366
fasting can,363
your diet,361
didn't know,357
vegan diet,357
body fat,355
not really,354
months now,353
eating carnivore,352
weight gain,348
we know,346
fasting he,345
never go,345
now know,345
my carnivore,345
gain weight,344
go away,344
kidney stones,343
started keto,342
so now,342
feeling better,339
diet so,338
joint pain,336
your blood,336
not enough,335
cholesterol levels,332
not hungry,330
year now,326
heart attacks,326
just not,324
never heard,323
stay away,321
leaky gut,316
our body,311
my diabetes,308
doing carnivore,307
some carbs,307
not all,307
blood test,307
my energy,306
diet as,304
very healthy,293
all know,292
my joints,289
fasting it's,288
diet which,285
american diet,284
fasting she,283
lost my,283
my glucose,281
not know,281
get sick,280
no carbs,278
not like,276
get better,276
without any,272
went carnivore,271
started fasting,270
fasting i'm,270
blood tests,269
ve never,269
fat diet,266
get hungry,265
bone broth,264
eating carbs,263
hairy toes,262
eat sugar,261
get off,259
now we,256
added sugar,254
still not,253
their diet,253
breast cancer,252
insulin level,252
get enough,252
day fasting,250
lost over,249
much sugar,249
weeks now,248
im not,248
me off,248
30 pounds,247
never hungry,247
there's no,247
fasting you're,247
zero carbs,245
there no,243
now they,242
gut health,242
why not,241
without sugar,240
pressure meds,240
healthy diet,239
worse than,239
sugar levels,239
that's not,237
glucose levels,237
feel hungry,236
insulin levels,235
nothing else,234
gut issues,234
lost 50,232
body weight,231
mediterranean diet,230
highly processed,229
they know,229
drink coffee,229
human body,228
not much,228
out sugar,228
