category,example
weight_loss,i have been on the carnivor diet for 45 days and have lost 30 pounds. revered my ibs..and i am lowering my blood pressure. i'm now omad and it's working out great for me. i am boarder line pre diabetic and hopefully in time my blood results will be much better. 🙏. god bless doctors like him for gett
weight_loss,"i have lost 65 pounds at 60, and never havre felt better on carnivore."
weight_loss,"dear dr fung, i started my fasting journey about 2 1/2 years ago and you were one of my biggest inspirations. you videos were most informative and scientific. i lost 30 kgs in the first year and made fasting my life style. for last 2 1/2 years, i eat only one meal a day and do a 48 hour fast once a "
weight_loss,"i started 16:8 fasting since 1 nov by skipping dinner, intake less carbohydrate and sugar,  long walk 4 days a week, lost 10 lbs. in a month.  i feel good and will continue this habit, thanks dr. fung."
weight_loss,"easy to understand, i was on low calories intake low fat diet and never lost any weight but gained weight,  at  same time a1c going up. on keto diet  for 4th year lost 30 lbs with in three months of starting keto not gained any weight and gaining more muscle mass losing fat. intermittent fasting 16-"
weight_loss,"i have been on a vegan (mainly organic) diet (no soya. no artificial anything. no lab meat etc) for almost 20 years. i was diagnosed being pre-diabetic. told i have gall polyps. my body (all of it) aches, hurts, feels broken. i have so much pain all over. spasmodic. i never know where i hurt next. i"
weight_loss,i went keto 6 weeks ago and lost 7 lbs without an exercise routine. just my regular outdoor duties. learning new recipes has been fun but the most challenging effort is finding what i need on store shelves due to covid-19.
weight_loss,i have lost 86 pounds in the last year and a half. mainly by just cutting out sugar. except for the occasional treat.  and everything you say is true.
weight_loss,"hi. my apob is over 230 mg/dl. i don't know what i should do now. tg/hdl ratio is 1.1, ldl is around 380 mg/dl (135 before keto). a1c of 5.5%. blood pressure very good.    i've lost 57 lbs in the last 1.5 years and ibs is much better than before. i wouldn't like to take statins. still have 30 lbs to"
weight_loss,"just from my own experience, i am 56 with a family history of heart attacks and have been 90%+ carnivore for 3 years the first time and about six months on my restart (my former doctor made me second guess my decision even though i felt my best being very low carb). my ldl and hdl concerns my curren"
weight_loss,"currently of 93rd hr of my 96 hr fast. incredible feeling… razor sharp brain, fat loss, feeling light, going for a swim. working all day. oh, btw , already lost 26 kgs in one year  on omad on little to no work out. just walking and taking stairs"
weight_loss,i’m 64. i was having trouble working out. i would have to take at least 2 days off after a workout. since starting on a diet of bacon and eggs in the morning and 2 boiled eggs at night i work out 6 days a week now and have lost 15 lbs. i am convinced that since the government is telling us to not eg
weight_loss,"my a1c got high. the dr. said i was diabetic and wanted to start me on metformin.  i said give me a few months and test again.  i changed my diet to mainly meat and cheese.  i limited bread, and other carbs i lost 70 lbs. in six months and a1c came out normal."
weight_loss,"i know this is an old video but my god i found it so helpful as i’ve just started my fasting journey….. i decided to go big and did 40 hours last week and i really enjoyed it… so i had two days of normal eating and last night i started my second 40 hour fast, now i’m about to go bed i’m gonna wake u"
weight_loss,i've been doing hard work for four months now and i've lost 80 pounds and i am re stricted to a wheelchair. about 23 pounds in the first month and then i could not lose another oz for three weeks during this time i was fasting 24 hours and eating one meal fasting 24 hours and eating another meal etc
weight_loss,"my anecdotal experience with whole lemons. i have had 4 pregnancies, with 4 different cravings. age 21, 1st one was a 7.8oz boy, i craved lemon and salt. i could go through a bag of lemons pouring on the salt. i gained 14lbs lost 25 pounds in the 1st week after. pregnancy 2&3 girls at age 24 and 27 "
weight_loss,sorry forgot to mention i lost 88 pounds doing the diet and taking sea kelp tablets for iodine. i am 69 and feel 23!!!
weight_loss,"i actually tried the 20:4 right away at first, i felt weak the first 2 days but then after that my body get used to it ive lost 3 lbs so far not even a week. i felt much energetic and focused on what i’m doing."
weight_loss,96 hours here lost 8 lbs.
weight_loss,"dr. berg, i switched from sugar to honey several years ago and i got every benefit you said. i think honey is attacked like fat and they both aren’t bad for you. i use about 2-3 lbs of raw honey every week and lost 20 lbs without trying and feel freaking amazing. i don’t wake up during the night for"
blood_sugar,"i did an 18.5 day water fast, refed and then went into carnivore.  it's only the first week of carnivore diet, and my fasting blood glucose is down to 127 today! i haven't taken any meds since before my fast!  eating carnivore barely affects my glucose, if at all, and i get to watch it trend down da"
blood_sugar,“i was on keto for 2 years. i lost weight and my blood sugars and a1c went down but then…. my blood sugar numbers started going up along with my weight and my a1c went from a 5.1 to 5.7. i decided to go plant based because that's what i was before but i wasn’t doing it the correct way. this time i d
blood_sugar,"the broad study is a study of the whole food plant based diet: a randomized controlled trial (the gold standard of studies)   outcome: the wfpb diet can be seen as an effective, safe option for weight loss and chronic disease risk and quality of life improvements. key foods included whole grains, le"
