comment_id,channel,classification,has_positive_outcome,aspect_matches,outcome_categories,exclusion_reasons,text_preview
129924,Nick Norwitz,positive_outcome,True,RO2.4,explicit_improvement,,Ty my cholesterol is around 450 a heavy statin was prescribed needless to say I never picked up the script been carnivore for almost 2 years and never felt better. ❤❤❤
51152,Jason Fung,positive_outcome,True,RO1.3; RO2.1; RO2.3; RO3.1; RO3.14,quantified_change,,I have been on the Carnivor diet for 45 days and have lost 30 pounds. Revered my IBS..and I am lowering my blood pressure. I'm now OMAD and it's working out great for me. I am boarder line pre diabeti
190602,Shawn Baker MD,positive_outcome,True,RO2.1,quantified_change,,"I HAVE LOST 65 POUNDS AT 60, AND NEVER HAVRE FELT BETTER ON CARNIVORE."
68177,Jason Fung,positive_outcome,True,RO2.1,quantified_change,,"Dear Dr Fung, I started my fasting journey about 2 1/2 years ago and you were one of my biggest inspirations. You videos were most informative and scientific. I lost 30 kgs in the first year and made "
196635,Shawn Baker MD,positive_outcome,True,RO1.6,explicit_improvement,,"If you want to tackle inflammation in a huge way, I’ve heard and experienced the miracle which is a short dry fast. It is an absolute game changer.   When the body is forced to extract water from the "
76961,KenDBerryMD,positive_outcome,True,RO1.8; RO3.14,reversal_remission; explicit_improvement,,"I went on carnivore in December 2022 after experiencing chronic diarrhea for months (I was diagnosed with microscopic colitis). The carnivore diet not only healed my gut issue, but apparently made a s"
58004,Jason Fung,positive_outcome,True,RO2.1,quantified_change,,"I started 16:8 fasting since 1 Nov by skipping dinner, intake less carbohydrate and sugar,  long walk 4 days a week, lost 10 lbs. in a month.  I feel good and will continue this habit, thanks Dr. Fung"
77806,KenDBerryMD,positive_outcome,True,RO1.8; RO2.1,quantified_change; symptom_cessation,,"I just realized my skin tags are gone!!! I' doing keto  for more than an year now, lost 35 kilograms (around 20 pounds)."
17462,Eric Berg DC,positive_outcome,True,RO2.1,quantified_change,,"Well hard for many people to belive but here it s my story.....9 years ago i was fat and i decide to start a diet....Never someone told me about this style of diet but it s not diet,it s just the time"
64174,Jason Fung,positive_outcome,True,RO2.1,quantified_change,,I was expecting something much more severe.  I lost 10kg in ten weeks from 80kg to 70kg but that was three years ago and since then I have fluctuated a bit around 72kg.
10646,Eric Berg DC,positive_outcome,True,RO2.1; RO3.1,quantified_change,,Dr Berg saved me from diabetes. My A1C went up to 7.3  My doctor told me to take Metformin. I did not want to take any drugs for this sugar problem so I followed Dr Berg's Keto diet recommendation. We
809,Ben Bikman,positive_outcome,True,RO1.9; RO2.1; RO3.11,quantified_change,,"@Dr Ben. What can be done for a woman suffering from type 4 stage 2 Lipodema ??? I have followed Dr Mindy's Hormone fasting regime and lost 20pounds and then it stopped, however the Lipodema does not "
75284,KenDBerryMD,positive_outcome,True,RO2.1; RO2.2,quantified_change,,“I was on KETO for 2 years. I lost weight and my blood sugars and A1C went down but then…. My blood sugar numbers started going up along with my weight and my A1C went from a 5.1 to 5.7. I decided to 
177905,Dr. Robert Cywes M.D.,positive_outcome,True,RO2.1,quantified_change,,I went KETO 6 weeks ago and lost 7 lbs without an exercise routine. Just my regular outdoor duties. Learning new recipes has been fun but the most challenging effort is finding what I need on store sh
12498,Eric Berg DC,positive_outcome,True,RO2.1,quantified_change,,I have lost 86 pounds in the last year and a half. Mainly by just cutting out sugar. Except for the occasional treat.  And everything you say is true.
130917,Dr. Boz,positive_outcome,True,RO3.9,reversal_remission,,"You skipped over the SV40 contamination.  That is why so many young, healthy, people are developing turbo cancers.  People who have been in remission for years are suddenly dying of their cancers."
199361,Shawn Baker MD,positive_outcome,True,RO2.1; RO3.3,quantified_change,,"Just from my own experience, I am 56 with a family history of heart attacks and have been 90%+ carnivore for 3 years the first time and about six months on my restart (my former doctor made me second "
85497,KenDBerryMD,positive_outcome,True,RO3.4,explicit_improvement,,"Been doing Keto and IF for almost 2 years now and I've never felt better! Always had fairly high blood pressure, even as a youngster I would have hypertension and have random nose bleeds but now my BP"
55384,Jason Fung,positive_outcome,True,RO2.1,quantified_change,,"I'm 63. I do not remember eating ""snacks"" as a child, but I do remember eating home cooked meals as a family. Mom was an excellent cook too. We were too poor to go to McDonald's so it was a rare treat"
91774,Mark Hyman,positive_outcome,True,RO1.7,reversal_remission,,I was diagnosed with Ankylosing Spondylitis. They told me it was genetic. I prayed for guidance and the Lord Jesus Christ changed my life. I was compelled to change my diet and do a 40-day detox that 
24473,Eric Berg DC,positive_outcome,True,RO1.1; RO2.1,quantified_change,,"Currently of 93rd hr of my 96 hr fast. Incredible feeling… razor sharp brain, fat loss, feeling light, going for a swim. Working all day. Oh, btw , already lost 26 kgs in one year  on Omad on little t"
26588,Eric Berg DC,positive_outcome,True,RO2.1,quantified_change,,I’m 64. I was having trouble working out. I would have to take at least 2 days off after a workout. Since starting on a diet of bacon and eggs in the morning and 2 boiled eggs at night I work out 6 da
73594,KenDBerryMD,positive_outcome,True,RO2.1; RO3.1,quantified_change,,"My A1C got high. The Dr. said I was Diabetic and wanted to start me on Metformin.  I said give me a few months and test again.  I changed my diet to mainly meat and cheese.  I limited bread, and other"
159410,Anthony Chaffee MD,positive_outcome,True,RO1.2; RO1.7,symptom_cessation,,"I started feeding my dogs what I eat or should eat, and it makes it easier to shop because I make sure I buy what they need first and lucky me it turns out it's what I need too. I will say after a few"
137627,Dr. Boz,positive_outcome,True,RO3.9,quantified_change,,"I ate 4-6 apples, sometimes 4-6 bananas, sometimes 4-6 oranges every single day for 14 weeks, with a few other things.  I'm 55, I went from 208 down to 168, in 14 weeks, and lost my Cancer without any"
63990,Jason Fung,positive_outcome,True,RO1.2; RO1.4; RO1.8; RO2.1,quantified_change,,I know this is an old video but my God I found it so helpful as I’ve just started my fasting journey….. I decided to go big and did 40 hours last week and I really enjoyed it… so I had two days of nor
86125,KenDBerryMD,positive_outcome,True,RO1.5; RO2.1,quantified_change,,"My anecdotal experience with whole lemons. I have had 4 pregnancies, with 4 different cravings. Age 21, 1st one was a 7.8oz boy, I craved lemon and salt. I could go through a bag of lemons pouring on "
147669,Dr. Boz,positive_outcome,True,RO2.1,quantified_change,,Watching after I'd independently started my own sardine challenge. I feel amazing & I see the difference. I'm going 2 weeks with this fast. I heard one woman lost over 70 lbs in 50 days on this. I'm r
76503,KenDBerryMD,positive_outcome,True,RO2.1,quantified_change,,Sorry forgot to mention I lost 88 pounds doing the diet and taking Sea KELP tablets for iodine. I am 69 and feel 23!!!
169736,Dr. Robert Cywes M.D.,positive_outcome,True,RO1.6,symptom_cessation,,I have been trying meat only diet (organ meats) for the last few weeks and I feel mentally and physically so fit. I feel like reverse aging. All pains and headaches gone !!!
43859,Eric Westman,positive_outcome,True,RO1.2; RO1.5; RO1.6; RO1.7; RO2.4,quantified_change,,"I eat real meat, much more real beef fat, plenty of homegrown eggs, a little fish and chicken and some real raw veges and nuts. I drink heaps of rainwater with electrolytes in it. I take a few supplem"
